"Frase"|"Autor"
"Só sei que nada sei"|"Sócrates"
"Penso, logo existo"|"René Descartes"
"O homem é um animal político"|"Aristóteles"
"Só a educação liberta"|"Epíteto"
"Onde há poder, há resistência"|"Michel Foucault"
"Deus está morto"|"Friedrich Nietzsche"
"Não se nasce mulher, torna-se mulher"|"Simone de Beauvoir"
"A vida não examinada não vale a pena ser vivida"|"Sócrates"
"O homem nasce livre, e em todo lugar encontra-se a correntes"|"Jean-Jacques Rousseau"
"Aquilo que não me mata, me fortalece"|"Friedrich Nietzsche"
